Training Loss,Validation Loss
6.7785,5.3487
5.1932,4.7382
4.6914,4.6910
4.5747,4.6686
4.5020,4.6626
4.4337,4.6914
4.3593,4.7302
4.3122,4.7841
4.2434,4.7148
4.2109,4.7082
4.2248,4.8256
4.1182,4.7525
4.0679,4.9596
4.0060,4.7975
4.0074,4.8077
3.8997,4.9003
3.8729,4.9010
3.8188,4.9051
3.8098,4.8550
3.7274,4.8983
3.6974,4.8675
3.5776,4.9121
3.5447,4.8602
3.4452,4.8939
3.4055,4.9410
3.3160,5.0201
3.2924,4.9908
3.2292,4.9811
3.1532,4.9536
3.1063,4.9995
3.0791,5.1839
2.9769,5.0387
2.9316,5.0765
2.8506,5.1019
2.7928,5.1664
2.7390,5.1503
2.6921,5.1540
2.6264,5.2139
2.5597,5.2233
2.5826,5.3438
2.5647,5.2781
2.4168,5.2964
2.3422,5.3279
2.2718,5.3824
2.2235,5.4210
2.1763,5.4642
2.1459,5.4868
2.0861,5.4804
2.0041,5.4919
1.9620,5.5813
1.9304,5.5526
1.8477,5.5773
1.7893,5.6460
1.7339,5.7019
1.6724,5.6820
1.6150,5.7218
1.5816,5.7627
1.4940,5.8183
1.4547,5.7988
1.3853,5.8605
1.3224,5.9064
1.2601,5.8941
1.2016,6.0128
1.1544,5.9829
1.0984,6.0188
1.0520,6.1476
0.9810,6.1650
0.9228,6.1996
0.8685,6.1872
0.8116,6.2892
0.7493,6.2721
0.6791,6.3361
0.6327,6.3250
0.5860,6.4170
0.5292,6.4618
0.4744,6.4872
0.4216,6.5458
0.3780,6.5652
0.3392,6.5841
0.2979,6.6016
0.2671,6.6624
0.2410,6.6548
0.2129,6.6719
0.1885,6.7275
0.1666,6.7384
0.1489,6.7476
0.1315,6.8089
0.1169,6.8167
0.1070,6.8196
0.0983,6.8604
